Dimension,Group,N,Bad_count,Good_count,Bad_rate,Bad_recall,False_positive_rate,Bad_precision,Predicted_Bad_rate,Mean_Bad_risk
Age,Unknown,175,37,138,0.2114,0.7297,0.2464,0.4426,0.3486,0.2275
Age,18-24,42,10,32,0.2381,0.8,0.5938,0.2963,0.6429,0.3431
Age,25-29,107,19,88,0.1776,0.6316,0.3409,0.2857,0.3925,0.2427
Age,30-34,175,24,151,0.1371,0.3333,0.1987,0.2105,0.2171,0.178
Age,35-39,87,19,68,0.2184,0.4211,0.1618,0.4211,0.2184,0.1648
Age,40-49,63,11,52,0.1746,0.7273,0.1346,0.5333,0.2381,0.1779
Employment,Permanent,340,58,282,0.1706,0.5517,0.2057,0.3556,0.2647,0.1884
Employment,Unknown,241,54,187,0.2241,0.7037,0.3102,0.3958,0.3983,0.2528
Employment,Self-employed,53,4,49,0.0755,0.25,0.1633,0.1111,0.1698,0.1544
Bank account,Savings,354,72,282,0.2034,0.5556,0.2837,0.3333,0.339,0.2281
Bank account,Unknown,175,37,138,0.2114,0.7297,0.2464,0.4426,0.3486,0.2275
Bank account,Other,124,12,112,0.0968,0.4167,0.1518,0.2273,0.1774,
