Feature,Mean_Importance,Std_Importance
avg_observed_repayment_delay_days,0.06432888387682077,0.011184910276851362
avg_observed_late_days,0.058253746233827286,0.01977583524984041
employment_status_clients,0.020188543470969565,0.013192170559568398
bank_account_type,0.018315806764645136,0.014155864251273931
days_since_last_loan,0.01273615280411305,0.008551783301316465
history_duration_days,0.00819708594008059,0.009824374753302806
creation_hour,0.007538053318550892,0.010608105429687013
observed_early_repayment_count,0.004930364389963815,0.010415626299590799
std_historical_loan_amount,0.004433170128369385,0.0028497186892202098
observed_late_repayment_rate,0.003785451046958105,0.012616482852936586
observed_late_repayment_count,0.002629196863931349,0.008691158322027711
total_historical_loan_amount,0.0014057265201803115,0.0013003503185250597
referredby_missing,0.0010195091653464826,0.0013964033703749465
creation_day_of_week,0.0009421279613185618,0.0024978278668523163
loannumber,0.0008012448758800417,0.001267135599835137
age_missing,0.0006603694381525748,0.0005594058839562652
historical_loan_count,0.00011152723441220092,0.0006348440269209835
loan_cost_rate,1.3392023855252067e-05,0.003501241685130336
max_historical_loan_amount,0.0,0.0
observed_on_time_repayment_count,0.0,0.0
has_observed_repayment,0.0,0.0
has_observed_late_repayment,0.0,0.0
observed_on_time_repayment_rate,0.0,0.0
has_historical_history,0.0,0.0
loan_cost,-6.020429707412345e-05,0.006925598559842879
max_historical_totaldue,-0.00033823840636519885,0.0018797763096270702
loanamount,-0.0016959402646097633,0.0017848935172013105
avg_historical_loan_amount,-0.0017207116996265314,0.0024885406788202656
observed_repayment_count,-0.0033606817484659324,0.007582718235990003
observed_early_repayment_rate,-0.003821829441932112,0.002321384294941572
age_at_application,-0.005006676717240177,0.007030488825666588
bank_name_clients,-0.009210704390705033,0.005148398058889963
termdays,-0.01013973969371485,0.004956754546348163
avg_historical_totaldue,-0.01296190528014785,0.008304880571852231
