systemloanid,customerid,creationdate,loanamount,totaldue,termdays,loannumber,referredby
301961226,8a858e255557edfe01557510da606263,2017-07-03 14:18:11,20000.0,23000.0,30,13,
301995414,8a858eee5872716901587644c4391794,2017-07-25 13:44:08,30000.0,34500.0,30,8,
301970251,8a858f055c831d5b015c87192bf35ab2,2017-07-09 13:10:38,10000.0,13000.0,30,2,
301961235,8a858f2c59b21e6e0159b36de4c1628e,2017-07-03 14:27:01,20000.0,24500.0,30,4,
301999906,8a858ec9590ad35d01592fc002540aa9,2017-07-28 06:09:17,10000.0,13000.0,30,5,
301988098,8a858e035693e0290156a25513ae35a6,2017-07-20 17:28:27,30000.0,34500.0,30,7,
301987107,8a858ed75732b68101574d1614f23803,2017-07-20 08:31:19,20000.0,24500.0,30,7,
301961187,8a858fc9580b91da01581bca02085f52,2017-07-03 13:50:03,30000.0,34500.0,30,9,
301977447,8a858f1554da2c400154dd8939c56b1f,2017-07-14 10:49:59,10000.0,11500.0,15,3,
301979295,8a858ed45bc9a645015bcb3187b8543c,2017-07-15 14:18:46,10000.0,13000.0,30,3,8a858eba5b681df4015b7b3b976f62da
301960975,8a858fcb5ca240f7015ca66d5be72ba4,2017-07-03 11:28:07,10000.0,11500.0,15,3,
301967286,8a8589c1545181f30154735d98f93955,2017-07-06 23:38:13,40000.0,48000.0,60,12,
301970897,8a858f4c5bb597f6015bbdbff82d4971,2017-07-10 06:31:45,20000.0,24500.0,30,5,8a858f1e5aec5791015aef876abb0dbc
301964899,8a858eae5bb5beb8015bbb0a34bf0472,2017-07-05 12:55:46,20000.0,22250.0,15,4,
301971032,8a858fbd5ad1feb0015ad209895209a5,2017-07-10 08:25:28,10000.0,13000.0,30,2,
301971147,8a858e185b4923b4015b50807fef1ab5,2017-07-10 09:40:13,20000.0,24500.0,30,4,
301960745,8a858faf56b7821c0156b93cd62a6275,2017-07-03 08:56:28,40000.0,48000.0,60,9,
301986583,8a858e6359a764180159a89577a06015,2017-07-19 21:37:27,30000.0,34500.0,30,10,
301965831,8a858f465668e3d601566c0daeb24682,2017-07-06 04:42:06,40000.0,48000.0,60,9,
302001949,8a858e725c360240015c372f0894441b,2017-07-29 09:21:58,30000.0,34500.0,30,5,8a858fce5bf8129c015bfbcdde9467f6
301964692,8a858f105a4ed440015a50ce2f89452f,2017-07-05 10:44:16,10000.0,13000.0,30,2,
301978732,8a858f8659db725c0159dcf1d4bd6f04,2017-07-15 06:39:09,30000.0,34500.0,30,10,
301977584,8a85892854a059ed0154aa9b70bc638d,2017-07-14 12:07:36,10000.0,13000.0,30,8,
301993535,8a858e6c5bd3fbff015bd408ac3e067a,2017-07-24 13:37:06,10000.0,11500.0,15,2,8a858ef458d4a52e0158d858eb5d6456
301982354,8a8588fd53c244bc0153d0a82ef81fd7,2017-07-17 16:13:13,10000.0,13000.0,30,2,
